City,Latitude,Longitude,Population
Oakland,37.7904,-122.2166,437825
Denton,33.2175,-97.1418,438492
Bonita Springs,26.3558,-81.7859,449527
Boise,43.6005,-116.2308,449776
Madison,43.0822,-89.3930,451652
Spokane,47.6671,-117.4330,456219
Reno,39.5497,-119.8483,457702
Little Rock,34.7256,-92.3577,459409
Port St. Lucie,27.2796,-80.3884,462047
Long Beach,33.7977,-118.1670,462293
Worcester,42.2705,-71.8079,486486
Toledo,41.6638,-83.5827,493302
Staten Island,40.5834,-74.1496,495747
Harrisburg,40.2752,-76.8843,498329
Mesa,33.4015,-111.7178,503390
Wichita,37.6895,-97.3443,509003
Concord,37.9722,-122.0016,531175
Palm Bay,27.9631,-80.6593,534348
Akron,41.0798,-81.5219,541945
Des Moines,41.5725,-93.6105,548926
New Haven,41.3113,-72.9246,565572
Bakersfield,35.3529,-119.0359,571992
Albany,42.6664,-73.7987,590694
Columbia,34.0378,-80.9036,604065
Grand Rapids,42.9619,-85.6562,609023
Knoxville,35.9692,-83.9496,615829
Provo,40.2457,-111.6457,619218
Ogden,41.2279,-111.9682,622918
Allentown,40.5961,-75.4756,627863
Baton Rouge,30.4420,-91.1311,635671
Colorado Springs,38.8674,-104.7605,638194
Mission Viejo,33.6096,-117.6551,642211
Cape Coral,26.6443,-81.9957,654405
Dayton,39.7805,-84.2003,668825
Rochester,43.1680,-77.6162,699921
Charleston,32.8168,-79.9687,706884
Fresno,36.7830,-119.7939,725276
Tulsa,36.1283,-95.9042,731743
Albuquerque,35.1054,-106.6465,769986
Birmingham,33.5279,-86.7971,782111
McAllen,26.2252,-98.2467,797341
Omaha,41.2627,-96.0529,821345
El Paso,31.8476,-106.4300,865270
Tucson,32.1541,-110.8787,878320
Bridgeport,41.1918,-73.1954,908251
Fort Worth,32.7817,-97.3474,924663
New Orleans,30.0687,-89.9288,932759
Buffalo,42.9018,-78.8487,944589
Louisville,38.1663,-85.6485,963812
Hartford,41.7661,-72.6834,974684
Oklahoma City,35.4676,-97.5136,998806
Memphis,35.1087,-89.9663,1037998
Richmond,37.5295,-77.4756,1073223
Raleigh,35.8324,-78.6429,1163152
Salt Lake City,40.7776,-111.9311,1173879
Nashville,36.1715,-86.7842,1177657
Jacksonville,30.3322,-81.6749,1288298
Providence,41.8230,-71.4187,1290271
Milwaukee,43.0642,-87.9675,1290940
Charlotte,35.2083,-80.8303,1427444
Virginia Beach,36.7335,-76.0435,1443020
Bronx,40.8501,-73.8662,1472654
Columbus,39.9862,-82.9855,1572546
Cleveland,41.4764,-81.6805,1680247
Kansas City,39.1238,-94.5541,1689556
Cincinnati,39.1413,-84.5060,1692702
Manhattan,40.7834,-73.9662,1694263
Indianapolis,39.7771,-86.1458,1729849
Pittsburgh,40.4397,-79.9763,1749091
San Jose,37.3012,-121.8480,1771413
San Juan,18.3985,-66.0610,1814587
Orlando,28.4773,-81.3370,1882705
Austin,30.3005,-97.7522,1905945
Sacramento,38.5677,-121.4685,1957738
San Antonio,29.4632,-98.5238,2058444
Portland,45.5371,-122.6500,2095808
St. Louis,38.6359,-90.2451,2130881
Baltimore,39.3051,-76.6144,2196524
Las Vegas,36.2333,-115.2654,2248047
Riverside,33.9381,-117.3949,2332836
Queens,40.7498,-73.7976,2405464
Denver,39.7620,-104.8758,2687458
Brooklyn,40.6501,-73.9496,2736074
Tampa,27.9945,-82.4447,2861173
Minneapolis,44.9635,-93.2678,2892569
San Diego,32.8313,-117.1222,3046560
San Francisco,37.7558,-122.4449,3364979
Seattle,47.6211,-122.3244,3561397
Detroit,42.3834,-83.1024,3725908
Phoenix,33.5722,-112.0892,4064275
Boston,42.3188,-71.0852,4328315
Washington,38.9047,-77.0163,5116378
Atlanta,33.7628,-84.4220,5180179
Philadelphia,40.0077,-75.1339,5683533
Dallas,32.7935,-96.7667,5830932
Houston,29.7860,-95.3885,5970127
Miami,25.7840,-80.2101,6080145
Chicago,41.8375,-87.6866,8497759
Los Angeles,34.1141,-118.4068,11922389
New York,40.6943,-73.9249,18908608
